46, 1
46, 0
46, 9
46, 18
46, 19
46, 20
46,21
46,22
46, 23
46, 24
46, 25
46, 26
46, 32
46, 37
46, 41
46, 42
46, 43
46, 44
46, 45
46, 46
46, 47
46, 49
45,49
45,48
45,47
45, 46
45, 45
45,44
45,43
45,42
45,41
45,40
45, 39
45, 38
45, 37
44, 40
44, 43
44, 41
44, 40
44, 44
44, 45
44, 46
44, 47
44, 48
44, 49
43, 49
43, 48
43, 45
43, 44
43, 43
42,44
42,48
42, 49
45, 30
45, 31
45,42
45, 24
45,20
45, 23
44, 23
43, 23
43, 24
43, 22
44, 24
45, 22
45, 19
45, 18
45, 17
44, 21
43, 21
42, 21
45, 8
45, 9
44, 2
44, 3
44, 7
44, 19
44, 20
44, 24
43, 31
43, 24
43, 23
43, 22
43, 19
43, 20
43, 9
43, 8
42, 6
42, 7
42, 10
41, 10
40, 10
40, 9
40,11
41,11
41,12
41, 13
41, 10
42, 13
41, 9
40, 12
43, 19
43, 20
42, 19
42, 20
41, 19
41, 20
41, 21
41, 22
41, 23
42, 23
41, 25
41, 26
41, 27
42, 28
42, 29
42, 30
42, 31
43, 31
41, 29
41, 28
41, 27
41, 26
41, 25
40, 28
40, 23
40, 22
39, 15
39, 17
39, 18
39, 19
39, 20
38, 16
38, 17
38, 18
38, 19
38, 20
37, 18
37, 19
37, 20
38, 21
40, 22
40, 23
39, 23
37, 22
37, 23
36, 23
36, 22
36, 21
36, 18
36, 19
36, 20
36, 21
36, 22
35, 17
35, 15
35, 7
36, 7
35, 6
35, 15
34, 5
34, 12
34, 16
33, 3
33, 5
33, 9
32, 9
31, 9
30, 9
31, 4
30, 5
30, 19
29, 3
29, 5
30, 9
30, 19
30, 28
30, 29
30, 30
30, 31
29, 27
33, 28
33, 29
33, 30
33, 31
33, 32
33, 33
33, 34
33, 35
33, 37
33, 38
34, 37
29, 38
31, 37
30, 35
30, 36
30, 37
30, 38
29, 35
29, 36
29, 37
34, 31
34, 28
42, 31
43, 31
29,48
29,49
29,35
29,36
29,37
29,38
30,38
30,37
30,36
30,35
30,34
31,37
30,28
30,39
30,30
29,27
34,37
33,38
33,37
33,35
33,34
33,33
33,32
34,35
34,37
33,31
33,30
33,29
33,28
32,27
32,28
32,29
32,30
32,31
32,32
32,33
32,34
32,38
31,27
31,28
31,29
31,30
31,31
31,32
31,33
31,37
34,30
34,29
34,28
34,27
34,26
35,36
34,27
34,28
34,29
34,30
34,31
34,35
34,37
35,26
35,27
35,28
35,29
35,30
35,31
35,35
36,42
36,26
36,27
36,28
36,29
36,30
36,31
36,42
37,18
37,19
37,20
37,21
37,22
37,22
37,23
37,24
37,26
37,27
37,28
37,29
37,30
37,31
37,35
37,41
37,41
38,34
38,35
38,30
38,29
38,28
38,27
38,26
38,25
38,24
38,23
38,22
38,21
38,20
38,19
38,18
38,17
38,16
39,30
39,29
39,28
39,27
39,25
39,23
39,22
39,20
39,19
39,18
39,17
39,15
38,12
38,13
38,14
37,12
37,13
40,18
40,19
40,21
40,22
40,23
40,24
40,28
41,18
41,19
41,20
41,21
41,22
41,23
41,25
41,26
41,27
41,28
41,29
42,19
42,20
42,23
42,27
42,28
42,29
42,30
42,31
43,31
43,19
43,20
43,22
43,23
43,24
43,31
44,19
44,20
44,22
44,23
44,24
45,17
45,18
45,20
45,22
45,23
45,24
45,30
45,31


